Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Components,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Polaris work item link),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (1QA),Custom field (2nd QA ),Custom field (ATC),Custom field (Account Manager ),Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Anticipated Status Transition Date),Custom field (Approvals),Custom field (Association Count),Custom field (Associations),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Automation Status),Custom field (Build Number),Custom field (Business Value),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Code Reviewer),Custom field (Comments),Custom field (Cycle),Custom field (Defect Environment),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Development),Custom field (Entered By),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimation),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Jira Assignee Salesforce),Custom field (Linked items),Custom field (Locked forms),Custom field (Managed Account),Custom field (Module Name),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Projected Beta End Date),Custom field (Projected Beta Start Date),Custom field (QA Automation),Custom field (QA Engineer),Custom field (QA Person),Custom field (QAE),Custom field (QB),Custom field (Rank),Custom field (Reopen Count),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Requesting Client),Custom field (Requesting Client),Custom field (SQL change),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Status Change Start Date),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (TR),Custom field (TTC),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (TechOps Product Aprroval Status),Custom field (Test Case Version),Custom field (Total forms),Custom field (Utility),Custom field (Vulnerability),Custom field (Work Priority),Custom field (Work Stream),Custom field (Zoho Desk Ticket),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Observations on Enabling product restrictions on new Product Restrictions Page,TRX-11629,136900,Bug,Dev In Progress,TRX,PrimeRx MARKET,software,Jeff Davis,712020:d5794e34-9434-4617-80c7-3bdd8d1daf78,,Medium,,Prasad Kanneti,712020:53d44bee-0a51-4c24-9855-77757f09232f,Nagarjuna Reddy,712020:3db4fd6d-5393-4a21-a78d-2d8272476330,Nagarjuna Reddy,712020:3db4fd6d-5393-4a21-a78d-2d8272476330,23/Apr/26 12:30 AM,04/May/26 7:14 AM,05/May/26 10:31 AM,,,MKT-3.4.3,PrimeRx Market Website,,0,,,"Issue:  Observations made as part of pretest “Enabling product restrictions on the new Product Restrictions Page”.

Environment: QA32025

Branch: TRX-10845-D



Observations: 

# Allowed duplicates NDC, Products names with same date, states for the same supplier. {color:#bf2600}There shouldn’t be duplicates if all info matches{color}
# If the State check box is unchecked while ""Edit"", it is treated as All states.



Observation 2 explanation: 

If the Admin user added NDC ([+43547038450+|https://qa32025.trxadedev.com/market/search?searchTerm=43547038450&catCode=All&NDCSpecific=true]) to the  “Source Catalog Product Restrictions“ like below

!image-20260421-140856.png|width=924,alt=""image-20260421-140856.png""!

After adding the NDC, 

if Admin user click Edit  for the Product and uncheck the state check box

!image-20260421-141101.png|width=924,alt=""image-20260421-141101.png""!

Click on “Save“

Then the restriction applies to All the states.

!image-20260421-141201.png|width=924,alt=""image-20260421-141201.png""!",,Kelsey Wesley,Nagarjuna Reddy,,,,712020:b9fe53c8-6f3f-4a69-894e-40bc65cb89a5,712020:3db4fd6d-5393-4a21-a78d-2d8272476330,,,,,,,,,,,,,,TRX-10845,,,,,,,,23/Apr/26 12:35 AM;712020:3db4fd6d-5393-4a21-a78d-2d8272476330;image-20260421-140856.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/152097,23/Apr/26 12:35 AM;712020:3db4fd6d-5393-4a21-a78d-2d8272476330;image-20260421-141101.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/152098,23/Apr/26 12:35 AM;712020:3db4fd6d-5393-4a21-a78d-2d8272476330;image-20260421-141201.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/152099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@42b44d25,,,,,,,,,,,,,,1,,,,"{repository={count=3, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":3,""lastUpdated"":""2026-05-05T03:27:02.000-0400"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":3,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i046p3:,0.0,,,,,,Enter any SQL related to this task here.,,,,,TRX Sprint 227,TRX Sprint 228,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2026-04-29 07:54:32.234,,"29/Apr/26 3:54 AM;712020:b9fe53c8-6f3f-4a69-894e-40bc65cb89a5;I think based on what you have there, this should be fine",,,,,,,,,,,,,,In Progress,24/Apr/26 4:23 AM
Automation task-Regression task,TRX-11600,133680,Automation,Business Acceptance,TRX,PrimeRx MARKET,software,Jeff Davis,712020:d5794e34-9434-4617-80c7-3bdd8d1daf78,,Medium,,Ramalakshmi V,712020:87914119-26d2-4a2c-be97-8681c0cefa89,Ramalakshmi V,712020:87914119-26d2-4a2c-be97-8681c0cefa89,Ramalakshmi V,712020:87914119-26d2-4a2c-be97-8681c0cefa89,08/Apr/26 8:35 AM,29/Apr/26 9:32 AM,,,,,PrimeRx Market Website,,0,,,"| |
| |
|CSQuestionnaire|
| |",,Ramalakshmi V,,,,,712020:87914119-26d2-4a2c-be97-8681c0cefa89,,,,,,,,,,,,,,,,,,,,,,,27/Apr/26 8:48 AM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;PrimeRx Automation Reports (b21824f7-c1c4-4ce0-b14f-ff098e1a5388).html;https://mmsrx.atlassian.net/rest/api/3/attachment/content/152886,22/Apr/26 1:55 PM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;PrimeRx Automation Reports.html;https://mmsrx.atlassian.net/rest/api/3/attachment/content/151985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59a28a75,,,,,,,,,,,,,,1,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-27T06:33:19.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i041lr:,0.0,,,,,,Enter any SQL related to this task here.,,,,,TRX Sprint 227,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,"22/Apr/26 1:55 PM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;[^PrimeRx Automation Reports.html]

pretest reports","27/Apr/26 8:48 AM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;Verify test reports:

[^PrimeRx Automation Reports (b21824f7-c1c4-4ce0-b14f-ff098e1a5388).html]

staging",,,,,,,,,,71805,TRX-6930,Testing Automation,Done,27/Apr/26 8:48 AM
Automation task-Add Seller Account Suspended reasons to choose from - Store in Admin,TRX-11598,133676,Automation,Business Acceptance,TRX,PrimeRx MARKET,software,Jeff Davis,712020:d5794e34-9434-4617-80c7-3bdd8d1daf78,,Medium,,Ramalakshmi V,712020:87914119-26d2-4a2c-be97-8681c0cefa89,Ramalakshmi V,712020:87914119-26d2-4a2c-be97-8681c0cefa89,Ramalakshmi V,712020:87914119-26d2-4a2c-be97-8681c0cefa89,08/Apr/26 8:31 AM,16/Apr/26 8:52 AM,,,,,PrimeRx Market Website,,0,,,"As an Administrator, I should be able to choose one of many seller account suspension reasons when an account is Suspended in Admin so we can run reporting off of the data.

UAC:

# Add Suspension Reasons a drop down list when Suspend in clicked on in Users Management for a Wholesaler/Manufacturer
## AR Issue
## Low Sales
## Violated Sites T&C
### If chosen, open Text box to enter how they Violated T & C
## Low Supplier Ratings
## Poor Customer Service
## Wholesaler Request
## Wholesaler Closed Permanently
## Suspicious Activity
## Other (Text Box)
# Store reason selected in database
# Store text entered in Text Box if applicable",,Ramalakshmi V,,,,,712020:87914119-26d2-4a2c-be97-8681c0cefa89,,,,,,,,,,,,,,,TRX-11604,TRX-11030,,,,,,,14/Apr/26 8:04 AM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;Pretest(TRX-11598).html;https://mmsrx.atlassian.net/rest/api/3/attachment/content/150127,11/Apr/26 2:04 AM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;TRX-11598(Pretest).html;https://mmsrx.atlassian.net/rest/api/3/attachment/content/149747,15/Apr/26 10:34 AM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;emailable-report.html;https://mmsrx.atlassian.net/rest/api/3/attachment/content/150484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2777e128,,,,,,,,,,,,,,1,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-15T09:11:13.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i041lb:,0.0,,,,,,Enter any SQL related to this task here.,,,,,TRX Sprint 227,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,"11/Apr/26 2:04 AM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;Pretest done qa1

Branch development

[^TRX-11598(Pretest).html]

","14/Apr/26 8:04 AM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;Pretest:qa1 development branch

[^Pretest(TRX-11598).html]

","15/Apr/26 10:34 AM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;verify test:Passed

branch:qa1

[^emailable-report.html]

",,,,,,,,,71805,TRX-6930,Testing Automation,Done,15/Apr/26 10:33 AM
Automation task-Changes to Auto-Reshop page,TRX-11597,133674,Automation,Business Acceptance,TRX,PrimeRx MARKET,software,Jeff Davis,712020:d5794e34-9434-4617-80c7-3bdd8d1daf78,,Medium,,Ramalakshmi V,712020:87914119-26d2-4a2c-be97-8681c0cefa89,Ramalakshmi V,712020:87914119-26d2-4a2c-be97-8681c0cefa89,Ramalakshmi V,712020:87914119-26d2-4a2c-be97-8681c0cefa89,08/Apr/26 8:27 AM,23/Apr/26 9:09 AM,,,,,PrimeRx Market Website,,0,,,"As a Buyer, I would like to have a clearer understanding of what’s displayed on this page and also only see Suppliers I can buy from now.

UAC

# Add text above Auto-Reshop Results
## *Below are any items Unaccepted in the last 7 days that we were able to Auto-Reshop for you. Displayed is the Supplier with the lowest price available for you to purchase with today. Just enter the Qty and click ADD to add the item to your cart. If you would like to shop the same NDC across all Suppliers, simply click on the  NDC below the product name to do an NDC specific search.*
# Results on Auto Reshop page should only include Suppliers that have the Qty box enabled (not in Apply now)
# Make the NDC a clickable link that does an NDC specific search if clicked
# Track if item purchased came from clicking the link clicked on Auto Reshop page
## If buy from same supplier listed on Auto Reshop, consider Auto Reshop Qty box as source
## If buy from other supplier consider NDC link on Auto Reshop as source

 

Example UI

!image-20260224-185142.png|width=1032,alt=""image-20260224-185142.png""!",,Radhika Kopparapu,Ramalakshmi V,,,,712020:6179edff-4ad9-4d94-bb3d-97dc682dfe18,712020:87914119-26d2-4a2c-be97-8681c0cefa89,,,,,,,,,,,,,,TRX-11615,,,,,,,,15/Apr/26 8:01 PM;712020:87914119-26d2-4a2c-be97-8681c0cefa89;image-20260224-185142.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/150685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@83535ef,,,,,,,,,,,,,,1,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-22T05:57:56.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i041l3:,0.0,,,,,,Enter any SQL related to this task here.,,,,,TRX Sprint 227,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2026-04-20 06:03:06.008,,20/Apr/26 2:03 AM;712020:6179edff-4ad9-4d94-bb3d-97dc682dfe18;Please  Link main Task here [~accountid:712020:87914119-26d2-4a2c-be97-8681c0cefa89] ,,,,,,,,,,,71805,TRX-6930,Testing Automation,Done,22/Apr/26 2:18 PM
Recording additional information in tab_name in homepage_tabs_click_history table.,TRX-11596,133672,Bug,Done,TRX,PrimeRx MARKET,software,Jeff Davis,712020:d5794e34-9434-4617-80c7-3bdd8d1daf78,,Medium,Fixed,Tamminana Lakshmi,712020:a2d5e83c-fbf4-4fec-8c09-fc8cbe2e0db1,Prasad Nunela,712020:d0e433d0-6ae0-48a4-8dfa-058f141f9d43,Prasad Nunela,712020:d0e433d0-6ae0-48a4-8dfa-058f141f9d43,08/Apr/26 8:16 AM,30/Apr/26 8:44 AM,,29/Apr/26 9:56 AM,,MKT-3.4.3,PrimeRx Market Website,,0,,,"As part of TRX-11313, recording Dashboard clicks information in homepage_tabs_click_history table.  

Steps to Reproduce:

# we are recording additional information in the tab_name like user details.  



*What is happening:*  We are recording additional information in tab_name column.  

*What should happen:*  We should record only dashboard tab name.  

Note:  This issue is not happening every time, it only happens on rare cases.",,Anil Nanepogu,Prasad Nunela,Tamminana Lakshmi,,,712020:5adbcfc1-23d7-4875-957d-56b7cb394290,712020:d0e433d0-6ae0-48a4-8dfa-058f141f9d43,712020:a2d5e83c-fbf4-4fec-8c09-fc8cbe2e0db1,,,,,,,,,,,,,TRX-11313,,,,,,,,29/Apr/26 5:30 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 141019.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153514,29/Apr/26 5:30 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 141257.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153515,29/Apr/26 5:35 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 141353-20260429-084354.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153516,29/Apr/26 5:35 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 141416-20260429-084417.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153518,29/Apr/26 5:35 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 141611-20260429-084611.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153517,29/Apr/26 5:35 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 141637-20260429-084638.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153519,29/Apr/26 9:56 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 190844-20260429-133844.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153558,29/Apr/26 9:56 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 190925-20260429-133925.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153557,29/Apr/26 9:56 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 191108-20260429-134108.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153559,29/Apr/26 9:56 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 191127-20260429-134127.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153556,29/Apr/26 9:56 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 191242-20260429-134242.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153560,29/Apr/26 9:56 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;Screenshot 2026-04-29 191300-20260429-134301.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/153555,24/Apr/26 10:38 AM;712020:a2d5e83c-fbf4-4fec-8c09-fc8cbe2e0db1;image-20260424-143505.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/152587,24/Apr/26 10:56 AM;712020:a2d5e83c-fbf4-4fec-8c09-fc8cbe2e0db1;image-20260424-145633.png;https://mmsrx.atlassian.net/rest/api/3/attachment/content/152590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@31b33bd1,,,,,,,,,,,,,,1,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-29T08:57:24.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i041kv:,0.0,,,,,,Enter any SQL related to this task here.,,,,,TRX Sprint 227,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2026-04-24 14:38:34.627,10081_*:*_3_*:*_860179_*|*_10083_*:*_1_*:*_56748760_*|*_10075_*:*_1_*:*_4825_*|*_10074_*:*_3_*:*_191446871_*|*_10000_*:*_1_*:*_540046639_*|*_10077_*:*_1_*:*_2373_*|*_10110_*:*_3_*:*_329173064_*|*_10088_*:*_1_*:*_0_*|*_10087_*:*_1_*:*_1295702_*|*_10078_*:*_1_*:*_681450097_*|*_10089_*:*_1_*:*_15889701,"24/Apr/26 10:38 AM;712020:a2d5e83c-fbf4-4fec-8c09-fc8cbe2e0db1;Branch Name : bugfix/TRX-11596

Branch From : development

if we give any other name in tab other than dashboard tabs we are not calling API service → recordTabClicks to update from FE

if Fails in FE then in backend we are sending 401 error. 

fixed this bug if we give dashboard tabs then only we are calling API service from FE.

!image-20260424-143505.png|width=896,alt=""image-20260424-143505.png""!



!image-20260424-145633.png|width=868,alt=""image-20260424-145633.png""!","29/Apr/26 2:52 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;PreTest:Passed

Branch:bugfix/TRX-11596

Environment:qa12025

*TestCase1:* getting 200 success response for recordTabClicks if the dynamic and static tab names are given in URL,the results should be displayed and tab_name column is updated in DB

!Screenshot 2026-04-29 141353-20260429-084354.png|width=618,alt=""Screenshot 2026-04-29 141353-20260429-084354.png""!

!Screenshot 2026-04-29 141416-20260429-084417.png|width=618,alt=""Screenshot 2026-04-29 141416-20260429-084417.png""!

!Screenshot 2026-04-29 141637-20260429-084638.png|width=618,alt=""Screenshot 2026-04-29 141637-20260429-084638.png""!

!Screenshot 2026-04-29 141611-20260429-084611.png|width=618,alt=""Screenshot 2026-04-29 141611-20260429-084611.png""!



*TestCase2:* recordTabClicks is not reflected in the Inspect when unusual name are given as tab names in url, the results or table is not reflected as there is no dynamic and static tab name with the given unsual name and tab_name column should not be updated with any data in the DB

!Screenshot 2026-04-29 141019.png|width=618,alt=""Screenshot 2026-04-29 141019.png""!

!Screenshot 2026-04-29 141257.png|width=618,alt=""Screenshot 2026-04-29 141257.png""!","29/Apr/26 9:00 AM;712020:5adbcfc1-23d7-4875-957d-56b7cb394290;VerifyTest:Passed

Branch:release/Nova_3.4.3

Environment:qa32025

*TestCase1:* getting 200 success response for recordTabClicks if the dynamic and static tab names are given in URL,the results should be displayed and tab_name column is updated in DB

here trendingInjectables is the tab name provided in url so tab_name column is updated and table and products are displayed in th dashboard as it is an valid tab name 

!Screenshot 2026-04-29 190844-20260429-133844.png|width=618,alt=""Screenshot 2026-04-29 190844-20260429-133844.png""!

!Screenshot 2026-04-29 190925-20260429-133925.png|width=610,alt=""Screenshot 2026-04-29 190925-20260429-133925.png""!

here dynamic tab name is provided as dyn3 in the url so the tab_name column in DB is upadted with  tab name

!Screenshot 2026-04-29 191127-20260429-134127.png|width=618,alt=""Screenshot 2026-04-29 191127-20260429-134127.png""!

!Screenshot 2026-04-29 191108-20260429-134108.png|width=618,alt=""Screenshot 2026-04-29 191108-20260429-134108.png""!



*TestCase2:* recordTabClicks is not reflected in the Inspect when unusual name are given as tab names in url, the results or table is not reflected as there is no dynamic and static tab name with the given unsual name and tab_name column should not be updated with any data in the DB

here unsual tab name is provided so the tab_name column should not be updated and recordtabclicks in inspect should not be reflected

!Screenshot 2026-04-29 191300-20260429-134301.png|width=618,alt=""Screenshot 2026-04-29 191300-20260429-134301.png""!

!Screenshot 2026-04-29 191242-20260429-134242.png|width=618,alt=""Screenshot 2026-04-29 191242-20260429-134242.png""!",,,,,,,,,,,,Done,29/Apr/26 9:56 AM
